assignment_group,incident_count,resolved_incidents,missing_resolution,sla_breaches,median_resolution_hours,p90_resolution_hours,reassigned_incidents,mean_reassignment_count,breach_rate,sla_compliance,resolution_coverage,reassignment_rate,breach_rate_ci_lower,breach_rate_ci_upper,eligible_for_comparison
Group 75,60,59,1,57,553.2666666666667,1379.9833333333333,24,0.7,95.0,5.000000000000004,98.33333333333333,40.0,86.29926537490016,98.28508088208588,False
Group 35,17,17,0,16,1821.0666666666664,7313.893333333333,14,1.0588235294117647,94.11764705882352,5.882352941176472,100.0,82.35294117647058,73.01745479643719,98.95398693548358,False
Group 17,11,11,0,10,341.85,842.7666666666667,8,1.3636363636363635,90.9090909090909,9.090909090909093,100.0,72.72727272727273,62.26353745137963,98.3768247737174,False
Group 26,24,24,0,21,295.925,1114.3616666666665,23,4.083333333333333,87.5,12.5,100.0,95.83333333333334,68.99571185214242,95.65574496068442,False
Group 61,38,38,0,33,597.6833333333334,2547.67166666667,32,1.8157894736842106,86.8421052631579,13.157894736842103,100.0,84.21052631578947,72.67282994850112,94.24621712426855,False
Group 63,7,7,0,6,2380.6,2894.216666666667,7,5.714285714285714,85.71428571428571,14.28571428571429,100.0,100.0,48.68654966809701,97.43210440510252,False
Group 67,6,6,0,5,1214.95,5425.6,3,0.8333333333333334,83.33333333333334,16.666666666666664,100.0,50.0,43.649056343635394,96.99474141282697,False
Group 3,99,99,0,82,314.4166666666667,3826.983333333333,51,1.1414141414141414,82.82828282828282,17.17171717171717,100.0,51.515151515151516,74.21056528666338,88.99342998373302,False
Group 50,51,51,0,38,91.15,955.25,37,1.5686274509803921,74.50980392156863,25.49019607843137,100.0,72.54901960784314,61.13145589385128,84.4543767587336,False
Group 21,58,58,0,35,117.73333333333332,419.6566666666672,29,0.9482758620689655,60.3448275862069,39.6551724137931,100.0,50.0,47.49298280744989,71.91143104988886,False
Group 59,44,44,0,25,70.9,441.03500000000014,38,1.9772727272727273,56.81818181818182,43.18181818181818,100.0,86.36363636363636,42.223890740554396,70.31749583514542,False
Group 68,45,45,0,25,94.38333333333334,1092.7566666666671,30,0.9777777777777777,55.55555555555556,44.44444444444444,100.0,66.66666666666666,41.17588341636533,69.0612914509609,False
Group 51,38,38,0,21,134.51666666666665,849.6566666666668,26,1.4736842105263157,55.26315789473685,44.73684210526315,100.0,68.42105263157895,39.70602917908942,69.85383468844911,False
Group 45,11,11,0,6,22.766666666666666,308.56666666666666,7,1.0,54.54545454545454,45.45454545454546,100.0,63.63636363636363,28.008775568998818,78.72904245601195,False
Group 13,36,36,0,18,123.375,1208.7166666666667,35,1.3888888888888888,50.0,50.0,100.0,97.22222222222221,34.47406762473052,65.52593237526946,False
Group 36,2,2,0,1,0.09999999999999995,0.12666666666666662,2,1.5,50.0,50.0,100.0,100.0,9.452865480086615,90.54713451991339,False
Group 8,2,2,0,1,98.05,154.37,2,3.5,50.0,50.0,100.0,100.0,9.452865480086615,90.54713451991339,False
Group 53,93,93,0,45,32.13333333333333,234.1433333333332,44,0.9139784946236559,48.38709677419355,51.61290322580645,100.0,47.31182795698925,38.49752909016495,58.40462866022331,False
Group 2,7,7,0,3,5.866666666666666,602.4100000000003,6,2.0,42.857142857142854,57.14285714285714,100.0,85.71428571428571,15.821692226262684,74.95457695909742,False
Group 32,8,8,0,3,60.358333333333334,173.44333333333333,8,1.25,37.5,62.5,100.0,100.0,13.684175946152106,69.42621454161981,False
Group 62,43,43,0,16,26.6,445.3266666666674,38,1.7674418604651163,37.2093023255814,62.7906976744186,100.0,88.37209302325581,24.37613889377433,52.14046173472684,False
Group 69,73,72,1,25,1.9333333333333331,91.59333333333332,43,1.3150684931506849,34.24657534246575,65.75342465753424,98.63013698630137,58.9041095890411,24.394708089529715,45.67358824995307,False
Group 47,45,45,0,15,25.6,284.74,19,0.6888888888888889,33.33333333333333,66.66666666666667,100.0,42.22222222222222,21.358692207276764,47.9297831907446,False
Group 34,51,51,0,14,19.9,389.6666666666667,12,0.35294117647058826,27.450980392156865,72.54901960784314,100.0,23.52941176470588,17.11412201054317,40.94691194907873,False
Group 43,8,8,0,2,51.375,301.4833333333333,8,1.625,25.0,75.0,100.0,100.0,7.147768885802764,59.073012089741084,False
Group 19,37,37,0,8,10.383333333333333,64.43666666666667,8,0.4594594594594595,21.62162162162162,78.37837837837837,100.0,21.62162162162162,11.386376851955585,37.19546127387691,False
Group 60,24,24,0,5,23.25,290.7883333333331,22,1.9583333333333333,20.833333333333336,79.16666666666666,100.0,91.66666666666666,9.24468910478809,40.470844485235475,False
Group 44,9,9,0,1,66.61666666666666,168.4933333333334,1,0.3333333333333333,11.11111111111111,88.88888888888889,100.0,11.11111111111111,1.9890371327130536,43.50062147680601,False
Group 41,1,1,0,0,53.43333333333333,53.43333333333333,0,0.0,0.0,100.0,100.0,0.0,0.0,79.34567085261071,False
